part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
30162,Equipment Binoculars,27,1998,2025,https://rebrickable.com/parts/30162/equipment-binoculars/,https://cdn.rebrickable.com/media/parts/elements/4211051.jpg,[],[],[],,['30162'],['353715'],"['30162', '90465']",['30162'],"['30162', '90465']",,Minifig Accessories,,,,
3022,Plate 2 x 2,14,1962,2025,https://rebrickable.com/parts/3022/plate-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/302226.jpg,[],[],[],,['3022'],['566026'],"['3022', '94148']","['3022', '94148']","['3022', '94148']",,Plates,2,2,,
3747a,Slope Inverted 33° 3 x 2 [No Connections between Studs],3,1980,2025,https://rebrickable.com/parts/3747a/slope-inverted-33-3-x-2-no-connections-between-studs/,https://cdn.rebrickable.com/media/parts/elements/4500458.jpg,[],"['3747b', '2752']",[],,['3747a'],['32787'],['3747'],['3747a'],['3747'],['3747'],Bricks Sloped,3,2,,No Connections between Studs
3710,Plate 1 x 4,14,1976,2025,https://rebrickable.com/parts/3710/plate-1-x-4/,https://cdn.rebrickable.com/media/parts/elements/371026.jpg,"['3710pr0003', '3710pr0001', '3710pr0002']",[],[],,['3710'],['515555'],['3710'],['3710'],['3710'],,Plates,1,4,,
6019,Plate Special 1 x 1 with Clip Horizontal [Thick U Clip],9,1990,2017,https://rebrickable.com/parts/6019/plate-special-1-x-1-with-clip-horizontal-thick-u-clip/,https://cdn.rebrickable.com/media/parts/elements/601926.jpg,[],['61252'],[],,['6019'],['275147'],['6019'],['6019'],['6019'],,Plates Special,1,1,,Thick U Clip
3680,"Turntable 2 x 2 Plate, Base",18,1977,2025,https://rebrickable.com/parts/3680/turntable-2-x-2-plate-base/,https://cdn.rebrickable.com/media/parts/elements/368026.jpg,[],[],[],,['3680'],['306217'],['3680'],['3680'],['3680'],,"Hinges, Arms and Turntables",2,2,,
3679,Turntable 2 x 2 Plate - Top,18,1977,2025,https://rebrickable.com/parts/3679/turntable-2-x-2-plate-top/,https://cdn.rebrickable.com/media/parts/elements/4211439.jpg,[],[],[],,['3679'],['776865'],['3679'],['3679'],['3679'],,"Hinges, Arms and Turntables",2,2,,
4032b,Plate Round 2 x 2 with Axle Hole Type 2 (X Opening),21,2003,2021,https://rebrickable.com/parts/4032b/plate-round-2-x-2-with-axle-hole-type-2-x-opening/,https://cdn.rebrickable.com/media/parts/ldraw/4/4032b.png,[],['4032a'],[],,['4032'],['265581'],['4032'],['4032b'],['4032'],,Plates Round Curved and Dishes,2,2,,
6141,Plate Round 1 x 1 with Solid Stud,21,1980,2025,https://rebrickable.com/parts/6141/plate-round-1-x-1-with-solid-stud/,https://cdn.rebrickable.com/media/parts/elements/614126.jpg,[],[],['85861'],,['4073'],['961948'],"['15570', '30057', '34823', '39799', '44325', '6141']","['4073', '6141']","['15570', '30057', '34823', '39799', '44325', '51809', '6141']",['4073'],Plates Round Curved and Dishes,1,1,,
4595,Brick Special 1 x 2 x 2/3 with Studs on Sides,5,1985,2025,https://rebrickable.com/parts/4595/brick-special-1-x-2-x-23-with-studs-on-sides/,https://cdn.rebrickable.com/media/parts/elements/4190471.jpg,[],[],[],,['4595'],['735967'],['4595'],['4595'],['4595'],,Bricks Special,1,2,2/3,
