part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
51,7,18.198486,-37.801498,-30.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
52,0,18.198486,-37.801498,-30.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
53,7,-18.198513,-37.801498,-30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
54,0,-18.198513,-37.801498,-30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
55,7,30.0,0.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
56,7,30.0,0.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
57,7,-30.0,0.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
58,7,-30.0,0.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
59,7,30.0,0.0,-10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
60,7,-30.0,0.0,170.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
61,7,-30.0,0.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
62,7,30.0,0.0,170.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
63,8,30.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
64,8,-30.0,24.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
65,8,-30.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
66,8,30.0,24.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
67,8,60.0,14.0,80.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,44728,Bracket 1 x 2 - 2 x 2,9.0,2002.0,2025.0,Plates Special,1.0,2.0,,
68,8,-60.0,14.0,80.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44728,Bracket 1 x 2 - 2 x 2,9.0,2002.0,2025.0,Plates Special,1.0,2.0,,
69,47,0.0,-56.0,-50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
70,7,0.0,-56.0,-20.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
71,8,0.0,-56.0,40.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
72,7,0.0,-48.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
73,320,0.0,-64.0,-40.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3069b,Tile 1 x 2 with Groove,19.0,1977.0,2025.0,Tiles,1.0,2.0,,
74,7,0.0,-64.0,-10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3070b,Tile 1 x 1 with Groove,19.0,1976.0,2025.0,Tiles,1.0,1.0,,
75,8,0.0,-64.0,30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,2555,Tile Special 1 x 1 with Clip and Straight Tips,15.0,1989.0,2017.0,Tiles Special,1.0,1.0,,
