part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
6141,Plate Round 1 x 1 with Solid Stud,21,1980,2025,https://rebrickable.com/parts/6141/plate-round-1-x-1-with-solid-stud/,https://cdn.rebrickable.com/media/parts/elements/614126.jpg,[],[],['85861'],,['4073'],['961948'],"['15570', '30057', '34823', '39799', '44325', '6141']","['4073', '6141']","['15570', '30057', '34823', '39799', '44325', '51809', '6141']",['4073'],Plates Round Curved and Dishes,1,1,,
54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3,2004,2025,https://rebrickable.com/parts/54200/slope-30-1-x-1-x-23-cheese-slope/,https://cdn.rebrickable.com/media/parts/elements/4263949.jpg,"['54200pr0004', '54200pr0005', '54200pr0003', '54200pr0001', '54200pr0006', '54200pr0007', '54200pr0013', '54200pr0014', '54200pr0017', '54200pr0015', '54200pr0016', '54200pr0010', '54200pr0008', '54200pr0020', '54200pr0018', '54200pr0022', '54200pr0019', '54200pr0021', '54200pr0027', '54200pr0023', '54200pr0024', '54200pr0025', '54200pr0026', '54200pr0028', '54200pr0009', '54200pr0029', '54200pr0002']",[],[],,['54200'],['158788'],"['18862', '33847', '35338', '50746', '54200', '63290']",['54200'],"['18862', '33847', '35338', '50746', '54200', '63290']",,Bricks Sloped,1,1,2/3,
42446,Minifig Neckwear Bracket [One Stud],71,2002,2019,https://rebrickable.com/parts/42446/minifig-neckwear-bracket-one-stud/,https://cdn.rebrickable.com/media/parts/elements/4210469.jpg,[],['28974'],[],,['42446'],['985917'],['42446'],['42446'],['42446'],"['554', 'x226']",Minifig Neckwear,,,,One Stud
30162,Equipment Binoculars,27,1998,2025,https://rebrickable.com/parts/30162/equipment-binoculars/,https://cdn.rebrickable.com/media/parts/elements/4211051.jpg,[],[],[],,['30162'],['353715'],"['30162', '90465']",['30162'],"['30162', '90465']",,Minifig Accessories,,,,
3957a,Antenna 1 x 4 with Rounded Top,32,1979,2019,https://rebrickable.com/parts/3957a/antenna-1-x-4-with-rounded-top/,https://cdn.rebrickable.com/media/parts/ldraw/0/3957a.png,[],['3957b'],[],,['3957'],['239363'],"['30064', '3957', '54413']",['3957a'],"['30064', '3957', '54413']",['3957'],"Bars, Ladders and Fences",1,4,,
3062b,Brick Round 1 x 1 Open Stud,20,1978,2025,https://rebrickable.com/parts/3062b/brick-round-1-x-1-open-stud/,https://cdn.rebrickable.com/media/parts/elements/306201.jpg,"['3062bpr0023', '3062bpr0018', '3062bpr0019', '3062bpr0045', '3062bpr0003', '3062bpr0027', '3062bpr0013', '3062bpr0024', '3062bpr0017', '3062bpr0047', '3062bpr0029', '3062bpr0005', '3062bpr0028', '3062bpr9998', '3062bpr0034', '3062bpr0001', '3062bpr0022', '3062bpr0043', '3062bpr0037', '3062bpr9965', '3062bpr0011', '3062bpr0012', '3062bpr0014', '3062bpr0020', '3062bpr0021', '3062bpr0030', '3062bpr9967', '3062bpr9970', '3062bpr9972', '3062bpr9973', '3062bpr9975', '3062bpr9976', '3062bpr9977', '3062bpr9978', '3062bpr9980', '3062bpr9981', '3062bpr9983', '3062bpr9984', '3062bpr9985', '3062bpr9986', '3062bpr9987', '3062bpr9988', '3062bpr9989', '3062bpr9993', '3062bpr9994', '3062bpr9995', '3062bpr9997', '3062bpr9974', '3062bpr9982', '3062bpr9991', '3062bpr9996', '3062bpr0032', '3062bpr0031', '3062bpr0041', '3062bpr0038', '3062bpr0039', '3062bpr0044', '3062bpr0046', '3062bpr9964', '3062bpr0048', '3062bpr0049', '3062bpr9999', '3062bpr0004', '3062bpr9968', '3062bpr0042', '3062bpr0040', '3062bpr0036', '3062bpr9971', '3062bpr9966', '3062bpr0015', '3062bpr9990', '3062bpr0006', '3062bpr0007', '3062bpr9992', '3062bpr0002', '3062bpr9969', '3062bpr9979', '3062bpr0008', '3062bpr0009', '3062bpr0010']",[],['3062a'],,['3062'],['763649'],"['18860', '30068', '3062', '35390']","['30068', '3062b']","['18860', '30068', '3062', '35390']",,Bricks Round and Cones,1,1,,
4274,Technic Pin 1/2,53,1980,2025,https://rebrickable.com/parts/4274/technic-pin-12/,https://cdn.rebrickable.com/media/parts/elements/4143005.jpg,[],[],['89678'],,['4274'],['778994'],['4274'],['4274'],['4274'],,Technic Pins,,,,
63868,Plate Special 1 x 2 with Clip Horizontal on End,9,2009,2025,https://rebrickable.com/parts/63868/plate-special-1-x-2-with-clip-horizontal-on-end/,https://cdn.rebrickable.com/media/parts/elements/4535739.jpg,[],[],[],,['63868'],['537281'],"['42923', '63868']",['63868'],"['42923', '63868']",,Plates Special,1,2,,
43722,Wedge Plate 3 x 2 Right,49,2002,2025,https://rebrickable.com/parts/43722/wedge-plate-3-x-2-right/,https://cdn.rebrickable.com/media/parts/elements/4211791.jpg,"['43722pr0003', '43722pr0001', '43722pr0002']",[],[],,['43722'],['97785'],['43722'],['43722'],['43722'],,Plates Angled,3,2,,
6019,Plate Special 1 x 1 with Clip Horizontal [Thick U Clip],9,1990,2017,https://rebrickable.com/parts/6019/plate-special-1-x-1-with-clip-horizontal-thick-u-clip/,https://cdn.rebrickable.com/media/parts/elements/601926.jpg,[],['61252'],[],,['6019'],['275147'],['6019'],['6019'],['6019'],,Plates Special,1,1,,Thick U Clip
61184,Technic Pin 1/2 with 2L Bar Extension,53,2008,2025,https://rebrickable.com/parts/61184/technic-pin-12-with-2l-bar-extension/,https://cdn.rebrickable.com/media/parts/elements/4520320.jpg,[],[],[],,['61184'],['833209'],"['42456', '61184']",['61184'],"['42456', '61184']",['x1855'],Technic Pins,,,,
43723,Wedge Plate 3 x 2 Left,49,2002,2025,https://rebrickable.com/parts/43723/wedge-plate-3-x-2-left/,https://cdn.rebrickable.com/media/parts/elements/4211794.jpg,"['43723pr0003', '43723pr0001', '43723pr0002']",[],[],,['43723'],['724978'],['43723'],['43723'],['43723'],,Plates Angled,3,2,,
