part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
130,47,50.0,-54.0,-158.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,98138,Tile Round 1 x 1,67.0,2011.0,2025.0,Tiles Round and Curved,1.0,1.0,,
131,70,52.0,-26.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,32124,"Technic Plate 1 x 5 with Smooth Ends, 4 Studs and Centre Axle Hole",26.0,1997.0,2025.0,Technic Special,1.0,5.0,,
132,15,44.0,-36.0,40.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37.0,2013.0,2025.0,Bricks Curved,2.0,1.0,,1/2 Bow
133,15,44.0,-36.0,10.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,15068,Slope Curved 2 x 2 x 2/3,37.0,2014.0,2025.0,Bricks Curved,2.0,2.0,2/3,
134,15,44.0,-36.0,-30.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,15068,Slope Curved 2 x 2 x 2/3,37.0,2014.0,2025.0,Bricks Curved,2.0,2.0,2/3,
135,70,-52.0,-26.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,32124,"Technic Plate 1 x 5 with Smooth Ends, 4 Studs and Centre Axle Hole",26.0,1997.0,2025.0,Technic Special,1.0,5.0,,
136,15,-44.0,-36.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37.0,2013.0,2025.0,Bricks Curved,2.0,1.0,,1/2 Bow
137,15,-44.0,-36.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15068,Slope Curved 2 x 2 x 2/3,37.0,2014.0,2025.0,Bricks Curved,2.0,2.0,2/3,
138,15,-44.0,-36.0,-30.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15068,Slope Curved 2 x 2 x 2/3,37.0,2014.0,2025.0,Bricks Curved,2.0,2.0,2/3,
139,40,-30.0,-64.0,60.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
